ОТЧЁТ ОБ ОЦЕНКЕ СОХРАНЁННЫХ МОДЕЛЕЙ
========================================

Тестовая выборка: 1908786 строк
Доля мошенничества: 0.1291%

Базовая модель:
  precision: 0.0113
  recall: 0.8190
  f1: 0.0223
  roc_auc: 0.9498

Графовая модель:
  precision: 0.0447
  recall: 0.8222
  f1: 0.0847
  roc_auc: 0.9709

Улучшение:
  precision: +295.59%
  recall: +0.40%
  f1: +280.39%
  roc_auc: +2.22%
